,tickerID
0,000020
1,000040
2,000050
3,000060
4,000070
5,000080
6,000100
7,000120
8,000140
9,000150
10,000180
11,000210
12,000220
13,000230
14,000240
15,000250
16,000270
17,000300
18,000320
19,000370
20,000390
21,000400
22,000430
23,000440
24,000480
25,000490
26,000500
27,000520
28,000540
29,000590
30,000640
31,000650
32,000660
33,000670
34,000680
35,000700
36,000720
37,000760
38,000810
39,000850
40,000860
41,000880
42,000890
43,000910
44,000950
45,000970
46,000990
47,001000
48,001020
49,001040
50,001060
51,001070
52,001080
53,001120
54,001130
55,001140
56,001200
57,001210
58,001230
59,001250
60,001260
61,001270
62,001290
63,001340
64,001360
65,001380
66,001390
67,001420
68,001430
69,001440
70,001450
71,001460
72,001470
73,001500
74,001510
75,001520
76,001530
77,001540
78,001550
79,001560
80,001570
81,001620
82,001630
83,001680
84,001720
85,001740
86,001750
87,001770
88,001780
89,001790
90,001800
91,001810
92,001820
93,001840
94,001880
95,001940
96,002020
97,002030
98,002070
99,002100
100,002140
101,002150
102,002170
103,002200
104,002210
105,002220
106,002230
107,002240
108,002270
109,002290
110,002310
111,002320
112,002350
113,002360
114,002380
115,002390
116,002410
117,002420
118,002450
119,002460
120,002600
121,002620
122,002630
123,002680
124,002690
125,002700
126,002710
127,002720
128,002760
129,002780
130,002790
131,002800
132,002810
133,002820
134,002840
135,002870
136,002880
137,002900
138,002920
139,002960
140,002990
141,003000
142,003010
143,003030
144,003060
145,003070
146,003080
147,003090
148,003100
149,003120
150,003160
151,003200
152,003220
153,003230
154,003240
155,003280
156,003300
157,003310
158,003350
159,003380
160,003410
161,003460
162,003470
163,003480
164,003490
165,003520
166,003530
167,003540
168,003550
169,003560
170,003570
171,003580
172,003610
173,003650
174,003670
175,003680
176,003690
177,003720
178,003780
179,003800
180,003830
181,003850
182,003920
183,003960
184,004000
185,004020
186,004060
187,004080
188,004090
189,004100
190,004140
191,004150
192,004170
193,004250
194,004270
195,004310
196,004360
197,004370
198,004380
199,004410
200,004430
201,004440
202,004450
203,004490
204,004540
205,004560
206,004590
207,004650
208,004690
209,004700
210,004710
211,004720
212,004770
213,004780
214,004800
215,004830
216,004840
217,004870
218,004890
219,004910
220,004920
221,004960
222,004970
223,004980
224,004990
225,005010
226,005030
227,005070
228,005090
