,tickerID
0,1301
1,1332
2,1333
3,1352
4,1375
5,1376
6,1377
7,1379
8,1380
9,1381
10,1382
11,1383
12,1384
13,1400
14,1401
15,1407
16,1413
17,1414
18,1417
19,1418
20,1419
21,1420
22,1429
23,1430
24,1431
25,1433
26,1434
27,1435
28,1436
29,1439
30,1443
31,1446
32,1447
33,1448
34,1450
35,1451
36,1491
37,1514
38,1515
39,1518
40,1605
41,1662
42,1663
43,1711
44,1712
45,1716
46,1717
47,1718
48,1719
49,1720
50,1721
51,1723
52,1724
53,1726
54,1730
55,1736
56,1737
57,1739
58,1743
59,1757
60,1758
61,1762
62,1764
63,1766
64,1768
65,1770
66,1773
67,1775
68,1776
69,1780
70,1783
71,1786
72,1787
73,1788
74,1789
75,1793
76,1795
77,1798
78,1799
79,1801
80,1802
81,1803
82,1805
83,1807
84,1808
85,1810
86,1811
87,1812
88,1813
89,1814
90,1815
91,1820
92,1821
93,1822
94,1826
95,1827
96,1828
97,1833
98,1835
99,1840
100,1841
101,1844
102,1847
103,1848
104,1850
105,1852
106,1853
107,1860
108,1861
109,1866
110,1867
111,1870
112,1871
113,1873
114,1878
115,1879
116,1881
117,1882
118,1884
119,1885
120,1887
121,1888
122,1890
123,1893
124,1897
125,1898
126,1899
127,1904
128,1905
129,1909
130,1911
131,1914
132,1921
133,1925
134,1926
135,1928
136,1929
137,1930
138,1934
139,1938
140,1939
141,1941
142,1942
143,1944
144,1945
145,1946
146,1948
147,1949
148,1950
149,1951
150,1952
151,1954
152,1959
153,1960
154,1961
155,1963
156,1964
157,1965
158,1966
159,1967
160,1968
161,1969
162,1971
163,1972
164,1973
165,1975
166,1976
167,1979
168,1980
169,1981
170,1982
171,1992
172,1994
173,1997
174,2001
175,2002
176,2003
177,2004
178,2009
179,2053
180,2055
181,2060
182,2107
183,2108
184,2109
185,2112
186,2114
187,2117
188,2120
189,2121
190,2122
191,2124
192,2127
193,2130
194,2134
195,2136
196,2138
197,2139
198,2146
199,2148
200,2150
201,2152
202,2153
203,2154
204,2156
205,2157
206,2158
207,2159
208,2160
209,2162
210,2163
211,2164
212,2168
213,2169
214,2170
215,2173
216,2175
217,2176
218,2178
219,2179
220,2180
221,2181
222,2183
223,2185
224,2186
225,2191
226,2193
227,2195
228,2196
229,2198
230,2201
231,2204
232,2206
233,2207
234,2208
235,2209
236,2211
237,2212
238,2215
239,2216
240,2217
241,2220
242,2221
243,2222
244,2224
245,2226
